MAG	group	depth_group	layer
s_SalMarSW160150MG_2_8917613_Bin_22	14	deep_14	deep
s_SalMarSW160230MG_3_8942301_Bin_18_1	6	deep_6	deep
s_SalMarWE160190MG_2_8859115_Bin_38	6	deep_6	deep
s_SalMarSW160210MG_3_8917618_Bin_27_2	11	deep_11	deep
s_SalMarWE160150MG_2_8859057_Bin_20_1	8	deep_8	deep
s_SalMarSW160110MG_4_8867924_Bin_86	3	deep_3	deep
s_SalMarSW160190MG_3_8917615_Bin_26_2	6	deep_6	deep
s_SalMarWE160110MG_2_8858884_Bin_44	8	deep_8	deep
s_SalMarSW160210MG_3_8917618_Bin_42_1	6	deep_6	deep
s_SalMarSW160110MG_4_8867924_Bin_71	15	deep_15	deep
s_SalMarSW160150MG_2_8917613_Bin_37_1	16	deep_16	deep
s_SalMarSW160220MG_2_8858942_Bin_33_1	15	deep_15	deep
s_SalMarSW160210MG_3_8917618_Bin_58	17	deep_17	deep
s_SalMarSW160200MG_2_8917694_Bin_61_1	15	deep_15	deep
s_SalMarWE160150MG_2_8859057_Bin_4_2	18	deep_18	deep
s_SalMarSW160150MG_2_8917613_Bin_9_2	19	deep_19	deep
s_SalMarSW160200MG_2_8917694_Bin_6_1	19	deep_19	deep
s_SalMarSW160190MG_3_8917615_Bin_21	19	deep_19	deep
s_SalMarSW160220MG_2_8858942_Bin_12_1	19	deep_19	deep
s_SalMarWE160110MG_2_8858884_Bin_7_3	19	deep_19	deep
s_SalMarSW160170MG_3_8942300_Bin_7_2	19	deep_19	deep
s_SalMarSW160130MG_4_8867923_Bin_9_2	8	deep_8	deep
s_SalMarWE160230MG_3_8858993_Bin_30	20	deep_20	deep
s_SalMarSW160150MG_2_8917613_Bin_9_1	8	deep_8	deep
s_SalMarSW160240MG_4_8867926_Bin_8_2	19	deep_19	deep
s_SalMarWE160110MG_2_8858884_Bin_7_2	19	deep_19	deep
s_SalMarSW160230MG_3_8942301_Bin_19	8	deep_8	deep
s_SalMarSW160230MG_3_8942301_Bin_16	19	deep_19	deep
s_SalMarWE160130MG_2_8859071_Bin_15_3	19	deep_19	deep
s_SalMarSW160130MG_4_8867923_Bin_9_1	8	deep_8	deep
s_SalMarSW160110MG_4_8867924_Bin_87_1	8	deep_8	deep
s_SalMarSW160240MG_4_8867926_Bin_8_1	19	deep_19	deep
s_SalMarWE160130MG_2_8859071_Bin_15_2	19	deep_19	deep
s_SalMarWE160150MG_2_8859057_Bin_4_1	20	deep_20	deep
s_SalMarSW160200MG_2_8917694_Bin_6_3	19	deep_19	deep
s_SalMarSW160190MG_3_8917615_Bin_10_1	19	deep_19	deep
s_SalMarSW160200MG_2_8917694_Bin_40_1	21	deep_21	deep
s_SalMarWE160210MG_3_8859159_Bin_14_1	22	deep_22	deep
s_SalMarSW160150MG_2_8917613_Bin_35	23	deep_23	deep
s_SalMarSW160200MG_2_8917694_Bin_34_1	23	deep_23	deep
s_SalMarWE160130MG_2_8859071_Bin_1_3	24	deep_24	deep
s_SalMarSW160150MG_2_8917613_Bin_3_2	25	deep_25	deep
s_SalMarSW160190MG_3_8917615_Bin_3_2	25	deep_25	deep
s_SalMarWE160110MG_2_8858884_Bin_21_1	25	deep_25	deep
s_SalMarSW160230MG_3_8942301_Bin_15	24	deep_24	deep
s_SalMarSW160210MG_3_8917618_Bin_28	26	deep_26	deep
s_SalMarSW160150MG_2_8917613_Bin_20_2	27	deep_27	deep
s_SalMarSW160230MG_3_8942301_Bin_12	25	deep_25	deep
s_SalMarSW160200MG_2_8917694_Bin_28	26	deep_26	deep
s_SalMarSW160150MG_2_8917613_Bin_39	28	deep_28	deep
s_SalMarWE160110MG_2_8858884_Bin_3_3	27	deep_27	deep
s_SalMarSW160150MG_2_8917613_Bin_17	29	deep_29	deep
s_SalMarSW160240MG_4_8867926_Bin_21	25	deep_25	deep
s_SalMarSW160130MG_4_8867923_Bin_4_3	27	deep_27	deep
s_SalMarSW160190MG_3_8917615_Bin_35	27	deep_27	deep
s_SalMarWE160170MG_2_8859029_Bin_19	30	deep_30	deep
s_SalMarSW160130MG_4_8867923_Bin_22	25	deep_25	deep
s_SalMarSW160230MG_3_8942301_Bin_11	27	deep_27	deep
s_SalMarWE160150MG_2_8859057_Bin_3_2	25	deep_25	deep
s_SalMarSW160150MG_2_8917613_Bin_26	31	deep_31	deep
s_SalMarSW160150MG_2_8917613_Bin_3_3	24	deep_24	deep
s_SalMarWE160150MG_2_8859057_Bin_27	32	deep_32	deep
s_SalMarSW160110MG_4_8867924_Bin_69	27	deep_27	deep
s_SalMarSW160210MG_3_8917618_Bin_1_4	33	deep_33	deep
s_SalMarSW160110MG_4_8867924_Bin_40_1	25	deep_25	deep
s_SalMarSW160110MG_4_8867924_Bin_78_2	3	deep_3	deep
s_SalMarSW160200MG_2_8917694_Bin_2_3	25	deep_25	deep
s_SalMarSW160220MG_2_8858942_Bin_16_1	25	deep_25	deep
s_SalMarWE160170MG_2_8859029_Bin_16	34	deep_34	deep
s_SalMarSW160190MG_3_8917615_Bin_19	26	deep_26	deep
s_SalMarSW160170MG_3_8942300_Bin_6_2	25	deep_25	deep
s_SalMarSW160130MG_4_8867923_Bin_29	28	deep_28	deep
s_SalMarWE160210MG_3_8859159_Bin_9	27	deep_27	deep
s_SalMarSW160210MG_3_8917618_Bin_1_3	27	deep_27	deep
s_SalMarWE160110MG_2_8858884_Bin_3_2	24	deep_24	deep
s_SalMarSW160110MG_4_8867924_Bin_82_1	28	deep_28	deep
s_SalMarSW160220MG_2_8858942_Bin_13	32	deep_32	deep
s_SalMarWE160130MG_2_8859071_Bin_1_1	27	deep_27	deep
s_SalMarSW160240MG_4_8867926_Bin_7_1	27	deep_27	deep
s_SalMarSW160210MG_3_8917618_Bin_1_2	25	deep_25	deep
s_SalMarSW160170MG_3_8942300_Bin_18	27	deep_27	deep
s_SalMarWE160130MG_2_8859071_Bin_23	25	deep_25	deep
s_SalMarSW160130MG_4_8867923_Bin_4_4	24	deep_24	deep
s_SalMarSW160110MG_4_8867924_Bin_103_1	24	deep_24	deep
s_SalMarSW160110MG_4_8867924_Bin_78_1	3	deep_3	deep
s_SalMarSW160240MG_4_8867926_Bin_7_2	24	deep_24	deep
s_SalMarSW160240MG_4_8867926_Bin_17	35	deep_35	deep
s_SalMarSW160200MG_2_8917694_Bin_50	27	deep_27	deep
s_SalMarSW160200MG_2_8917694_Bin_4_1	36	deep_36	deep
s_SalMarSW160230MG_3_8942301_Bin_31	36	deep_36	deep
s_SalMarWE160170MG_2_8859029_Bin_18	37	deep_37	deep
s_SalMarSW160110MG_4_8867924_Bin_99_1	38	deep_38	deep
s_SalMarWE160110MG_2_8858884_Bin_14_1	36	deep_36	deep
s_SalMarSW160240MG_4_8867926_Bin_3_2	39	deep_39	deep
s_SalMarWE160170MG_2_8859029_Bin_7_1	36	deep_36	deep
s_SalMarWE160110MG_2_8858884_Bin_16_1	40	deep_40	deep
s_SalMarSW160150MG_2_8917613_Bin_5_2	38	deep_38	deep
s_SalMarWE160150MG_2_8859057_Bin_23	8	deep_8	deep
s_SalMarSW160240MG_4_8867926_Bin_3_1	36	deep_36	deep
s_SalMarSW160200MG_2_8917694_Bin_32_1	40	deep_40	deep
s_SalMarSW160170MG_3_8942300_Bin_3_1	36	deep_36	deep
s_SalMarSW160190MG_3_8917615_Bin_4_1	36	deep_36	deep
s_SalMarSW160110MG_4_8867924_Bin_59	36	deep_36	deep
s_SalMarSW160110MG_4_8867924_Bin_99_2	38	deep_38	deep
s_SalMarWE160130MG_2_8859071_Bin_3_1	36	deep_36	deep
s_SalMarSW160240MG_4_8867926_Bin_30	41	deep_41	deep
s_SalMarSW160130MG_4_8867923_Bin_5_2	38	deep_38	deep
s_SalMarSW160230MG_3_8942301_Bin_10	42	deep_42	deep
s_SalMarSW160170MG_3_8942300_Bin_22_1	40	deep_40	deep
s_SalMarSW160110MG_4_8867924_Bin_60	40	deep_40	deep
s_SalMarWE160240MG_3_8859104_Bin_34	38	deep_38	deep
s_SalMarSW160210MG_3_8917618_Bin_10_1	36	deep_36	deep
s_SalMarWE160130MG_2_8859071_Bin_18_1	40	deep_40	deep
s_SalMarWE160150MG_2_8859057_Bin_11	36	deep_36	deep
s_SalMarSW160200MG_2_8917694_Bin_29_2	43	deep_43	deep
s_SalMarSW160150MG_2_8917613_Bin_5_1	36	deep_36	deep
s_SalMarWE160190MG_2_8859115_Bin_13	36	deep_36	deep
s_SalMarWE160190MG_2_8859115_Bin_3_1	37	deep_37	deep
s_SalMarWE160220MG_3_8859048_Bin_8_1	6	deep_6	deep
s_SalMarSW160150MG_2_8917613_Bin_11_2	37	deep_37	deep
s_SalMarWE160210MG_3_8859159_Bin_5_1	6	deep_6	deep
s_SalMarSW160240MG_4_8867926_Bin_25	6	deep_6	deep
s_SalMarWE160240MG_3_8859104_Bin_6_1	6	deep_6	deep
s_SalMarSW160200MG_2_8917694_Bin_21_1	37	deep_37	deep
s_SalMarSW160190MG_3_8917615_Bin_20_1	37	deep_37	deep
s_SalMarSW160170MG_3_8942300_Bin_32	37	deep_37	deep
s_SalMarSW160210MG_3_8917618_Bin_16_1	37	deep_37	deep
s_SalMarWE160170MG_2_8859029_Bin_2_1	37	deep_37	deep
s_SalMarWE160130MG_2_8859071_Bin_27	8	deep_8	deep
s_SalMarSW160240MG_4_8867926_Bin_38_1	44	deep_44	deep
s_SalMarWE160170MG_2_8859029_Bin_28_1	45	deep_45	deep
s_SalMarSW160200MG_2_8917694_Bin_52_2	46	deep_46	deep
s_SalMarSW160200MG_2_8917694_Bin_23_1	47	deep_47	deep
s_SalMarSW160210MG_3_8917618_Bin_3_5	8	deep_8	deep
s_SalMarSW160190MG_3_8917615_Bin_41_1	45	deep_45	deep
s_SalMarSW160200MG_2_8917694_Bin_35_1	31	deep_31	deep
s_SalMarWE160150MG_2_8859057_Bin_1_2	8	deep_8	deep
s_SalMarWE160150MG_2_8859057_Bin_18	8	deep_8	deep
s_SalMarSW160170MG_3_8942300_Bin_24_1	3	deep_3	deep
s_SalMarWE160170MG_2_8859029_Bin_13	6	deep_6	deep
s_SalMarSW160210MG_3_8917618_Bin_3_3	48	deep_48	deep
s_SalMarSW160220MG_2_8858942_Bin_45	49	deep_49	deep
s_SalMarWE160170MG_2_8859029_Bin_29	50	deep_50	deep
s_SalMarSW160110MG_4_8867924_Bin_24_2	3	deep_3	deep
s_SalMarSW160150MG_2_8917613_Bin_30_2	3	deep_3	deep
s_SalMarSW160210MG_3_8917618_Bin_22_1	51	deep_51	deep
s_SalMarSW160200MG_2_8917694_Bin_16_2	52	deep_52	deep
s_SalMarWE160240MG_3_8859104_Bin_25	31	deep_31	deep
s_SalMarWE160110MG_2_8858884_Bin_12_1	46	deep_46	deep
s_SalMarSW160130MG_4_8867923_Bin_37	3	deep_3	deep
s_SalMarSW160150MG_2_8917613_Bin_1_1	3	deep_3	deep
s_SalMarSW160170MG_3_8942300_Bin_2_1	53	deep_53	deep
s_SalMarSW160230MG_3_8942301_Bin_8_1	54	deep_54	deep
s_SalMarSW160110MG_4_8867924_Bin_58_3	3	deep_3	deep
s_SalMarSW160170MG_3_8942300_Bin_26_1	54	deep_54	deep
s_SalMarSW160170MG_3_8942300_Bin_20	3	deep_3	deep
s_SalMarWE160190MG_2_8859115_Bin_35	8	deep_8	deep
s_SalMarSW160130MG_4_8867923_Bin_39_1	3	deep_3	deep
s_SalMarSW160230MG_3_8942301_Bin_2_2	55	deep_55	deep
s_SalMarSW160150MG_2_8917613_Bin_44_1	3	deep_3	deep
s_SalMarSW160210MG_3_8917618_Bin_22_2	56	deep_56	deep
s_SalMarSW160200MG_2_8917694_Bin_1_4	57	deep_57	deep
s_SalMarWE160210MG_3_8859159_Bin_8_1	31	deep_31	deep
s_SalMarWE160220MG_3_8859048_Bin_10_2	58	deep_58	deep
s_SalMarWE160170MG_2_8859029_Bin_14	8	deep_8	deep
s_SalMarWE160130MG_2_8859071_Bin_30	8	deep_8	deep
s_SalMarWE160130MG_2_8859071_Bin_9_1	59	deep_59	deep
s_SalMarWE160210MG_3_8859159_Bin_8_2	45	deep_45	deep
s_SalMarSW160110MG_4_8867924_Bin_29	8	deep_8	deep
s_SalMarSW160200MG_2_8917694_Bin_68	60	deep_60	deep
s_SalMarSW160210MG_3_8917618_Bin_33_2	61	deep_61	deep
s_SalMarSW160150MG_2_8917613_Bin_1_5	8	deep_8	deep
s_SalMarSW160190MG_3_8917615_Bin_42_1	62	deep_62	deep
s_SalMarSW160220MG_2_8858942_Bin_3_3	63	deep_63	deep
s_SalMarSW160110MG_4_8867924_Bin_75	3	deep_3	deep
s_SalMarSW160130MG_4_8867923_Bin_44	8	deep_8	deep
s_SalMarWE160150MG_2_8859057_Bin_1_3	8	deep_8	deep
s_SalMarSW160130MG_4_8867923_Bin_15_2	64	deep_64	deep
s_SalMarSW160190MG_3_8917615_Bin_54	54	deep_54	deep
s_SalMarSW160110MG_4_8867924_Bin_53_high_coverage	3	deep_3	deep
s_SalMarSW160210MG_3_8917618_Bin_3_1	58	deep_58	deep
s_SalMarWE160130MG_2_8859071_Bin_5_3	54	deep_54	deep
s_SalMarSW160220MG_2_8858942_Bin_1_3	3	deep_3	deep
s_SalMarWE160170MG_2_8859029_Bin_6_2	58	deep_58	deep
s_SalMarWE160190MG_2_8859115_Bin_12_2	31	deep_31	deep
s_SalMarSW160110MG_4_8867924_Bin_61	3	deep_3	deep
s_SalMarSW160150MG_2_8917613_Bin_31	3	deep_3	deep
s_SalMarWE160110MG_2_8858884_Bin_30_1	54	deep_54	deep
s_SalMarSW160130MG_4_8867923_Bin_32_2	3	deep_3	deep
s_SalMarSW160210MG_3_8917618_Bin_49_1	49	deep_49	deep
s_SalMarSW160220MG_2_8858942_Bin_44	3	deep_3	deep
s_SalMarWE160220MG_3_8859048_Bin_33	31	deep_31	deep
s_SalMarWE160240MG_3_8859104_Bin_30_2	65	deep_65	deep
s_SalMarSW160240MG_4_8867926_Bin_6_3	8	deep_8	deep
s_SalMarSW160190MG_3_8917615_Bin_1_4	8	deep_8	deep
s_SalMarSW160200MG_2_8917694_Bin_43_2	56	deep_56	deep
s_SalMarSW160190MG_3_8917615_Bin_30_2	65	deep_65	deep
s_SalMarSW160200MG_2_8917694_Bin_52_1	6	deep_6	deep
s_SalMarSW160230MG_3_8942301_Bin_41	31	deep_31	deep
s_SalMarSW160230MG_3_8942301_Bin_50	66	deep_66	deep
s_SalMarSW160110MG_4_8867924_Bin_80_2	8	deep_8	deep
s_SalMarSW160110MG_4_8867924_Bin_80_3	8	deep_8	deep
s_SalMarSW160210MG_3_8917618_Bin_33_3	62	deep_62	deep
s_SalMarSW160170MG_3_8942300_Bin_1_3	67	deep_67	deep
s_SalMarSW160240MG_4_8867926_Bin_6_1	68	deep_68	deep
s_SalMarSW160200MG_2_8917694_Bin_1_3	3	deep_3	deep
s_SalMarWE160150MG_2_8859057_Bin_35_1	49	deep_49	deep
s_SalMarWE160190MG_2_8859115_Bin_16	69	deep_69	deep
s_SalMarWE160130MG_2_8859071_Bin_2_1	8	deep_8	deep
s_SalMarSW160200MG_2_8917694_Bin_1_2	67	deep_67	deep
s_SalMarSW160150MG_2_8917613_Bin_1_2	8	deep_8	deep
s_SalMarSW160150MG_2_8917613_Bin_34_1	3	deep_3	deep
s_SalMarSW160130MG_4_8867923_Bin_2_2	3	deep_3	deep
s_SalMarSW160210MG_3_8917618_Bin_7_1	70	deep_70	deep
s_SalMarWE160110MG_2_8858884_Bin_37_1	66	deep_66	deep
s_SalMarSW160190MG_3_8917615_Bin_9	53	deep_53	deep
s_SalMarSW160170MG_3_8942300_Bin_38	3	deep_3	deep
s_SalMarSW160130MG_4_8867923_Bin_10_2	3	deep_3	deep
s_SalMarWE160240MG_3_8859104_Bin_35	45	deep_45	deep
s_SalMarSW160220MG_2_8858942_Bin_7_1	6	deep_6	deep
s_SalMarSW160200MG_2_8917694_Bin_43_1	62	deep_62	deep
s_SalMarSW160170MG_3_8942300_Bin_1_1	3	deep_3	deep
s_SalMarWE160190MG_2_8859115_Bin_1_2	6	deep_6	deep
s_SalMarWE160220MG_3_8859048_Bin_20_1	31	deep_31	deep
s_SalMarSW160210MG_3_8917618_Bin_3_2	31	deep_31	deep
s_SalMarSW160230MG_3_8942301_Bin_2_3	71	deep_71	deep
s_SalMarSW160200MG_2_8917694_Bin_1_5	3	deep_3	deep
s_SalMarSW160230MG_3_8942301_Bin_2_4	3	deep_3	deep
s_SalMarWE160190MG_2_8859115_Bin_12_1	31	deep_31	deep
s_SalMarSW160110MG_4_8867924_Bin_65	3	deep_3	deep
s_SalMarSW160200MG_2_8917694_Bin_49_1	61	deep_61	deep
s_SalMarWE160150MG_2_8859057_Bin_49	72	deep_72	deep
s_SalMarSW160200MG_2_8917694_Bin_44	73	deep_73	deep
s_SalMarWE160130MG_2_8859071_Bin_39_1	74	deep_74	deep
s_SalMarWE160230MG_3_8858993_Bin_39	6	deep_6	deep
s_SalMarSW160110MG_4_8867924_Bin_28	3	deep_3	deep
s_SalMarSW160200MG_2_8917694_Bin_7_3	75	deep_75	deep
s_SalMarWE160240MG_3_8859104_Bin_30_1	38	deep_38	deep
s_SalMarSW160110MG_4_8867924_Bin_24_1	3	deep_3	deep
s_SalMarWE160130MG_2_8859071_Bin_5_2	45	deep_45	deep
s_SalMarSW160220MG_2_8858942_Bin_25_1	3	deep_3	deep
s_SalMarWE160210MG_3_8859159_Bin_3_2	58	deep_58	deep
s_SalMarWE160170MG_2_8859029_Bin_6_1	76	deep_76	deep
s_SalMarWE160190MG_2_8859115_Bin_1_1	58	deep_58	deep
s_SalMarSW160220MG_2_8858942_Bin_22	3	deep_3	deep
s_SalMarSW160110MG_4_8867924_Bin_45_1	3	deep_3	deep
s_SalMarSW160190MG_3_8917615_Bin_5_2	75	deep_75	deep
s_SalMarWE160130MG_2_8859071_Bin_24_2	77	deep_77	deep
s_SalMarSW160150MG_2_8917613_Bin_43	47	deep_47	deep
s_SalMarSW160130MG_4_8867923_Bin_2_4	3	deep_3	deep
s_SalMarSW160210MG_3_8917618_Bin_2_3	75	deep_75	deep
s_SalMarWE160150MG_2_8859057_Bin_12_2	3	deep_3	deep
s_SalMarWE160130MG_2_8859071_Bin_29_1	73	deep_73	deep
s_SalMarSW160130MG_4_8867923_Bin_32_1	3	deep_3	deep
s_SalMarSW160200MG_2_8917694_Bin_1_6	78	deep_78	deep
s_SalMarSW160200MG_2_8917694_Bin_67_1	79	deep_79	deep
s_SalMarSW160200MG_2_8917694_Bin_65_2	49	deep_49	deep
s_SalMarSW160150MG_2_8917613_Bin_1_3	3	deep_3	deep
s_SalMarSW160110MG_4_8867924_Bin_58_4	3	deep_3	deep
s_SalMarWE160210MG_3_8859159_Bin_25	8	deep_8	deep
s_SalMarSW160190MG_3_8917615_Bin_1_3	80	deep_80	deep
s_SalMarSW160240MG_4_8867926_Bin_34	69	deep_69	deep
s_SalMarSW160210MG_3_8917618_Bin_32	81	deep_81	deep
s_SalMarWE160230MG_3_8858993_Bin_6_1	38	deep_38	deep
s_SalMarSW160200MG_2_8917694_Bin_32_2	3	deep_3	deep
s_SalMarWE160210MG_3_8859159_Bin_3_1	6	deep_6	deep
s_SalMarSW160190MG_3_8917615_Bin_1_1	82	deep_82	deep
s_SalMarWE160130MG_2_8859071_Bin_33	69	deep_69	deep
s_SalMarWE160170MG_2_8859029_Bin_12_1	77	deep_77	deep
s_SalMarSW160190MG_3_8917615_Bin_59_2	49	deep_49	deep
s_SalMarWE160210MG_3_8859159_Bin_3_3	65	deep_65	deep
s_SalMarSW160170MG_3_8942300_Bin_24_2	49	deep_49	deep
s_SalMarSW160190MG_3_8917615_Bin_30_1	6	deep_6	deep
s_SalMarWE160110MG_2_8858884_Bin_10	75	deep_75	deep
s_SalMarSW160240MG_4_8867926_Bin_27_2	83	deep_83	deep
s_SalMarSW160110MG_4_8867924_Bin_58_1	3	deep_3	deep
s_SalMarSW160130MG_4_8867923_Bin_10_1	3	deep_3	deep
s_SalMarSW160150MG_2_8917613_Bin_1_4	67	deep_67	deep
s_SalMarWE160150MG_2_8859057_Bin_12_1	31	deep_31	deep
s_SalMarWE160170MG_2_8859029_Bin_38	72	deep_72	deep
s_SalMarWE160220MG_3_8859048_Bin_10_1	6	deep_6	deep
s_SalMarSW160150MG_2_8917613_Bin_51	8	deep_8	deep
s_SalMarSW160130MG_4_8867923_Bin_2_1	8	deep_8	deep
s_SalMarSW160110MG_4_8867924_Bin_58_2	63	deep_63	deep
s_SalMarSW160110MG_4_8867924_Bin_80_1	8	deep_8	deep
s_SalMarSW160240MG_4_8867926_Bin_35_2	8	deep_8	deep
s_SalMarSW160210MG_3_8917618_Bin_17_2	45	deep_45	deep
s_SalMarSW160200MG_2_8917694_Bin_16_1	84	deep_84	deep
s_SalMarSW160220MG_2_8858942_Bin_18_1	3	deep_3	deep
s_SalMarWE160170MG_2_8859029_Bin_20	69	deep_69	deep
s_SalMarWE160170MG_2_8859029_Bin_25_1	31	deep_31	deep
s_SalMarWE160230MG_3_8858993_Bin_6_3	76	deep_76	deep
s_SalMarSW160190MG_3_8917615_Bin_1_2	85	deep_85	deep
s_SalMarSW160230MG_3_8942301_Bin_9	86	deep_86	deep
s_SalMarSW160110MG_4_8867924_Bin_58_5	3	deep_3	deep
s_SalMarSW160230MG_3_8942301_Bin_2_1	8	deep_8	deep
s_SalMarWE160130MG_2_8859071_Bin_2_4	58	deep_58	deep
s_SalMarWE160130MG_2_8859071_Bin_5_1	66	deep_66	deep
s_SalMarSW160110MG_4_8867924_Bin_85	86	deep_86	deep
s_SalMarSW160130MG_4_8867923_Bin_40	87	deep_87	deep
s_SalMarSW160150MG_2_8917613_Bin_40_1	3	deep_3	deep
s_SalMarSW160150MG_2_8917613_Bin_30_1	8	deep_8	deep
s_SalMarWE160150MG_2_8859057_Bin_32	8	deep_8	deep
s_SalMarSW160200MG_2_8917694_Bin_30_1	54	deep_54	deep
s_SalMarSW160130MG_4_8867923_Bin_2_3	3	deep_3	deep
s_SalMarSW160200MG_2_8917694_Bin_1_1	80	deep_80	deep
s_SalMarSW160220MG_2_8858942_Bin_25_2	66	deep_66	deep
s_SalMarSW160170MG_3_8942300_Bin_1_2	8	deep_8	deep
s_SalMarSW160150MG_2_8917613_Bin_49	54	deep_54	deep
s_SalMarWE160130MG_2_8859071_Bin_31	88	deep_88	deep
s_SalMarWE160230MG_3_8858993_Bin_31_1	31	deep_31	deep
s_SalMarWE160190MG_2_8859115_Bin_1_4	76	deep_76	deep
s_SalMarSW160230MG_3_8942301_Bin_32	89	deep_89	deep
s_SalMarWE160130MG_2_8859071_Bin_21	75	deep_75	deep
s_SalMarSW160230MG_3_8942301_Bin_3_1	3	deep_3	deep
s_SalMarWE160230MG_3_8858993_Bin_6_2	65	deep_65	deep
s_SalMarSW160200MG_2_8917694_Bin_14_2	70	deep_70	deep
s_SalMarWE160110MG_2_8858884_Bin_12_2	90	deep_90	deep
s_SalMarWE160110MG_2_8858884_Bin_1_2	8	deep_8	deep
s_SalMarSW160190MG_3_8917615_Bin_45	91	deep_91	deep
s_SalMarSW160190MG_3_8917615_Bin_29_1	92	deep_92	deep
s_SalMarSW160110MG_4_8867924_Bin_57_1	93	deep_93	deep
s_SalMarSW160200MG_2_8917694_Bin_46_1	92	deep_92	deep
s_SalMarSW160220MG_2_8858942_Bin_32	6	deep_6	deep
s_SalMarWE160220MG_3_8859048_Bin_2_1	6	deep_6	deep
s_SalMarWE160230MG_3_8858993_Bin_22	94	deep_94	deep
s_SalMarSW160200MG_2_8917694_Bin_20_1	95	deep_95	deep
s_SalMarSW160130MG_4_8867923_Bin_36	96	deep_96	deep
s_SalMarWE160210MG_3_8859159_Bin_12	6	deep_6	deep
s_SalMarWE160240MG_3_8859104_Bin_17	94	deep_94	deep
s_SalMarWE160220MG_3_8859048_Bin_16	94	deep_94	deep
s_SalMarWE160110MG_2_8858884_Bin_27_1	97	deep_97	deep
s_SalMarSW160200MG_2_8917694_Bin_20_2	98	deep_98	deep
s_SalMarSW160210MG_3_8917618_Bin_52	6	deep_6	deep
s_SalMarWE160110MG_2_8858884_Bin_26_1	98	deep_98	deep
s_SalMarSW160110MG_4_8867924_Bin_12_1	99	deep_99	deep
s_SalMarSW160240MG_4_8867926_Bin_60_1	92	deep_92	deep
s_SalMarSW160210MG_3_8917618_Bin_26	95	deep_95	deep
s_SalMarWE160190MG_2_8859115_Bin_17	6	deep_6	deep
s_SalMarWE160230MG_3_8858993_Bin_38	94	deep_94	deep
s_SalMarWE160240MG_3_8859104_Bin_41	94	deep_94	deep
s_SalMarWE160220MG_3_8859048_Bin_41	94	deep_94	deep
s_SalMarSW160240MG_4_8867926_Bin_9	100	deep_100	deep
s_SalMarWE160130MG_2_8859071_Bin_10	101	deep_101	deep
s_SalMarWE160240MG_3_8859104_Bin_1_1	102	deep_102	deep
s_SalMarSW160210MG_3_8917618_Bin_15	103	deep_103	deep
s_SalMarSW160150MG_2_8917613_Bin_14	103	deep_103	deep
s_SalMarSW160240MG_4_8867926_Bin_11	104	deep_104	deep
s_SalMarSW160240MG_4_8867926_Bin_2_3	3	deep_3	deep
s_SalMarSW160190MG_3_8917615_Bin_32	105	deep_105	deep
s_SalMarSW160110MG_4_8867924_Bin_96_1	106	deep_106	deep
s_SalMarSW160220MG_2_8858942_Bin_35	107	deep_107	deep
s_SalMarSW160200MG_2_8917694_Bin_10_1	103	deep_103	deep
s_SalMarSW160230MG_3_8942301_Bin_17	107	deep_107	deep
s_SalMarSW160200MG_2_8917694_Bin_24_1	105	deep_105	deep
